Madrid-Este;28072211;CPR INF-PRI-SEC;CIUDAD EDUCATIVA MUNICIPAL HIPATIA-FUHEM;Avenida Ocho De Marzo , 1;Rivas-Vaciamadrid;-;28529;-;-;-;Privado Concertado
Madrid-Sur;28032870;CPR INF-PRI-SEC;CIUDAD ESCUELA MUCHACHOS;Avenida Doctor Fleming , 3;Leganés;-;28912;916938041;916938041;-;Privado Concertado
Madrid-Capital;28015148;CPR INF-PRI-SEC;CLARET;Calle De Corazón De María , 1;Madrid;Chamartín;28002;914152154;914167092;-;Privado Concertado
Madrid-Capital;28069251;CPR INF-PRI-SEC;COLEGIO ABACO;Avenida De La Peseta , 8;Madrid;Latina;28054;915114064;915081150;-;Privado Concertado
Madrid-Capital;28037983;CPR INF-PRI-SEC;COLEGIO ADDIS;Calle Vieja De Pinto , 15;Madrid;Villaverde;28021;917970422;-;-;Privado Concertado
Madrid-Este;28070883;CPR INF-PRI-SEC;COLEGIO ALBORADA;Calle Alejo Carpentier , 27;Alcalá de Henares;-;28806;918301912;-;-;Privado Concertado
Madrid-Sur;28025695;CPR INF-PRI-SEC;COLEGIO ALCALA;Calle Alférez Luis Martín Vidales , 1;Villaviciosa de Odón;-;28670;916160203;916160694;-;Privado Concertado
Madrid-Este;28070895;CPR INF-PRI-SEC;COLEGIO ANTAMIRA;Calle Los Cuadros , s/n;Paracuellos de Jarama;-;28860;916672707;-;-;Privado Concertado
Madrid-Sur;28072168;CPR INF-PRI-SEC;COLEGIO AQUILA;Calle Planeta Urano , s/n;Parla;-;28983;-;-;-;Privado Concertado
Madrid-Sur;28072156;CPR INF-PRI-SEC;COLEGIO ARENALES ARROYOMOLINOS;Calle De La Guardia C/v C/ Coruña , S/N;Arroyomolinos;-;28939;916688289;916688514;-;Privado Concertado
Madrid-Capital;28073151;CPR INF-PRI-SEC;COLEGIO ARENALES CARABANCHEL;Avenida De Los Poblados , 151;Madrid;Carabanchel;-;-;-;-;Privado Concertado
Madrid-Capital;28067318;CPR INF-PRI-SEC;COLEGIO ARTICA;Calle De Los Morales , 25;Madrid;Carabanchel;28054;915112615;914006071;Motóricos;Privado Concertado
Madrid-Norte;28067434;CPR INF-PRI-SEC;COLEGIO ARULA;Calle De Alcalá (alalpardo) , 23;Valdeolmos-Alalpardo;-;28130;916205198;916202875;-;Privado Concertado
Madrid-Este;28026444;CPR INF-PRI-SEC;COLEGIO CAMINO REAL;Avenida Constitución , 190;Torrejón de Ardoz;-;28850;916751535;916766257;-;Privado Concertado
Madrid-Oeste;28065784;CPR INF-PRI-SEC;COLEGIO CAUDE;Calle Barco , 2;Majadahonda;-;28222;916028022;916029238;-;Privado Concertado
Madrid-Capital;28072132;CPR INF-PRI-SEC;COLEGIO CEU SAN PABLO EN SANCHINARRO;Avenida Del Alcalde Conde De Mayalde , 45;Madrid;Hortaleza;28050;-;-;-;Privado Concertado
Madrid-Este;28073148;CPR INF-PRI-SEC;COLEGIO CHESTERTON;Calle Luxemburgo , 1;Meco;-;28880;-;-;-;Privado Concertado
Madrid-Capital;28068128;CPR INF-PRI-SEC;COLEGIO CUMBRES-HIGHLANDS;Calle De San Enrique De Osso , s/n;Madrid;Hortaleza;28050;-;-;-;Privado
Madrid-Capital;28022566;CPR INF-PRI-SEC;COLEGIO DE JESUS;Calle Del Timón , 18;Madrid;Barajas;28042;917476014;91 3295868;-;Privado Concertado
Madrid-Sur;28061389;CPR INF-PRI-SEC;COLEGIO DE NUESTRA SEÑORA;Avenida Europa , 100;Valdemoro;-;28341;918083804;918.083.804;-;Privado
Madrid-Capital;28005799;CPR INF-PRI-SEC;COLEGIO DIOCESANO MARIA INMACULADA;Calle De Joaquín Turina , 62;Madrid;Carabanchel;28044;915092950;917051461;-;Privado Concertado
Madrid-Sur;28064846;CPR INF-PRI-SEC;COLEGIO EL CATON;Calle Ronda De Zaragoza , s/n;Torrejón de Velasco;-;28990;918124344;918161953;-;Privado Concertado
Madrid-Capital;28072144;CPR INF-PRI-SEC;COLEGIO ESTUDIANTES LAS TABLAS;Calle De Fromista , 1;Madrid;Fuencarral-El Pardo;28050;-;-;-;Privado Concertado
Madrid-Capital;28021100;CPR INF-PRI-SEC;COLEGIO EUROPEO ALMAZAN;Calle De Mesena , 101;Madrid;Ciudad Lineal;28033;913020706;913020706;-;Privado
Madrid-Sur;28048944;CPR INF-PRI-SEC;COLEGIO EUROPEO ARISTOS;Avenida De Juan Carlos I , 12;Getafe;-;28905;916839889;916966671;-;Privado
Madrid-Capital;28069285;CPR INF-PRI-SEC;COLEGIO GAUDEM;Calle De La Playa De Barlovento , 14;Madrid;Barajas;28042;913886477;913010182;Auditivos;Privado Concertado
Madrid-Oeste;28067410;CPR INF-PRI-SEC;COLEGIO HELADE;Calle De Severo Ochoa , 6;Boadilla del Monte;-;28660;916338062;916338813;-;Privado Concertado
Madrid-Capital;28064202;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL J.H. NEWMAN;Avenida De Guadalajara , 28-32;Madrid;San Blas;28032;917609184;913135739;Motóricos;Privado Concertado
